time,year,month,day,hour,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,power_44008
2018-07-14 17:00:00,2018.0,7.0,14.0,17.0,0.79,11.43,5.37,82.0,1019.6,17.8,18.0,1.6388429130000002
2018-07-14 18:00:00,2018.0,7.0,14.0,18.0,0.84,12.12,6.2,121.0,1019.4,17.4,18.2,2.1392380799999997
2018-07-14 19:00:00,2018.0,7.0,14.0,19.0,0.87,11.43,6.22,129.0,1019.1,17.0,18.4,2.302171902
2018-07-14 23:00:00,2018.0,7.0,14.0,23.0,0.9,11.43,5.84,110.0,1018.4,15.6,18.2,2.3131656
2018-07-15 00:00:00,2018.0,7.0,15.0,0.0,0.89,7.69,5.64,104.0,1018.0,15.1,18.0,2.184580116
2018-07-15 01:00:00,2018.0,7.0,15.0,1.0,0.91,12.12,5.93,125.0,1018.3,15.1,17.9,2.4012995370000003
2018-07-15 02:00:00,2018.0,7.0,15.0,2.0,0.87,7.69,5.98,90.0,1018.1,15.1,17.9,2.2133421180000004
2018-07-15 03:00:00,2018.0,7.0,15.0,3.0,0.87,7.69,5.8,105.0,1017.7,15.7,17.9,2.14671978
2018-07-15 04:00:00,2018.0,7.0,15.0,4.0,0.9,12.9,6.01,356.0,1017.5,16.1,18.0,2.3805009
2018-07-15 05:00:00,2018.0,7.0,15.0,5.0,0.84,12.12,5.77,105.0,1017.5,16.7,18.0,1.9908715679999998
2018-07-15 06:00:00,2018.0,7.0,15.0,6.0,0.85,12.12,5.95,90.0,1017.3,15.9,18.0,2.102149875
2018-07-15 08:00:00,2018.0,7.0,15.0,8.0,0.87,12.12,5.78,142.0,1016.9,16.4,18.2,2.1393172980000004
2018-07-15 09:00:00,2018.0,7.0,15.0,9.0,0.89,11.43,5.66,124.0,1016.2,16.5,18.4,2.192326854
2018-07-15 10:00:00,2018.0,7.0,15.0,10.0,0.92,10.81,5.68,112.0,1016.0,16.8,18.5,2.350892928
2018-07-15 11:00:00,2018.0,7.0,15.0,11.0,0.92,6.67,5.73,95.0,1015.5,17.4,18.5,2.3715874080000003
2018-07-15 12:00:00,2018.0,7.0,15.0,12.0,0.89,10.81,5.86,102.0,1015.9,18.0,18.4,2.269794234
2018-07-15 14:00:00,2018.0,7.0,15.0,14.0,0.84,7.14,6.52,97.0,1015.6,19.1,18.9,2.2496503679999997
2018-07-15 15:00:00,2018.0,7.0,15.0,15.0,0.92,7.69,6.9,105.0,1015.0,19.3,19.3,2.85583824
2018-07-15 16:00:00,2018.0,7.0,15.0,16.0,0.92,8.33,6.89,112.0,1015.2,19.5,19.2,2.851699344
2018-07-15 18:00:00,2018.0,7.0,15.0,18.0,0.88,7.69,7.1,105.0,1015.4,19.8,19.3,2.68863936
2018-07-15 19:00:00,2018.0,7.0,15.0,19.0,0.91,7.14,6.58,91.0,1015.2,19.4,19.2,2.6645111220000004
2018-07-15 20:00:00,2018.0,7.0,15.0,20.0,0.89,7.69,6.2,123.0,1014.9,19.4,19.0,2.4014887799999998
2018-07-15 21:00:00,2018.0,7.0,15.0,21.0,1.0,8.33,6.08,102.0,1014.7,19.3,18.8,2.9731199999999998
2018-07-15 22:00:00,2018.0,7.0,15.0,22.0,1.0,6.67,6.07,215.0,1014.9,19.2,18.8,2.96823
2018-07-16 01:00:00,2018.0,7.0,16.0,1.0,0.99,8.33,6.27,120.0,1015.5,19.4,19.1,3.0050160029999997
2018-07-16 02:00:00,2018.0,7.0,16.0,2.0,1.05,7.69,6.43,103.0,1015.9,19.3,18.9,3.4665576750000002
2018-07-16 04:00:00,2018.0,7.0,16.0,4.0,1.09,8.33,6.5,101.0,1016.0,19.5,18.4,3.77637585
2018-07-16 05:00:00,2018.0,7.0,16.0,5.0,1.12,9.09,6.34,98.0,1015.7,19.6,18.3,3.8889661440000007
2018-07-16 07:00:00,2018.0,7.0,16.0,7.0,1.05,9.09,5.86,107.0,1015.7,19.2,18.2,3.1592578500000004
2018-07-16 09:00:00,2018.0,7.0,16.0,9.0,1.0,8.33,5.99,108.0,1015.8,19.0,18.2,2.92911
2018-07-16 10:00:00,2018.0,7.0,16.0,10.0,1.02,7.69,6.02,114.0,1016.0,19.0,18.8,3.0627087119999996
2018-07-16 12:00:00,2018.0,7.0,16.0,12.0,1.03,5.88,5.57,165.0,1016.3,19.7,18.9,2.889605157
2018-07-16 13:00:00,2018.0,7.0,16.0,13.0,0.99,8.33,5.4,87.0,1016.4,20.2,19.2,2.5880520600000003
